,Tipo,N-Gram,Vocabulario,Épocas,Perplexity (Genesis)
0,Palabras Completas,3,41392,5,190.69023295845372
1,Palabras Completas,4,41392,5,137.08627605973157
2,Palabras Completas,5,41392,5,105.85827058122224
3,Subwords,3,5000,5,2464.750056061863
4,Subwords,4,5000,5,2260.1576517498365
5,Subwords,5,5000,5,2102.84602399415
6,Subwords,3,10000,5,3030.0040749175955
7,Subwords,4,10000,5,2589.0767130888144
8,Subwords,5,10000,5,2313.320354763206
9,Subwords,3,15000,5,4093.0701444291867
10,Subwords,4,15000,5,3663.6404481833583
11,Subwords,5,15000,5,3236.4193274856707
