datetime,step,epoch,eval_loss,accuracy,f1_macro
2026-05-26 16:01:50,0,0,5.6832,0.0,0.0
2026-05-26 16:24:19,3125,0.5,0.2818,0.512,0.2291
2026-05-26 16:46:51,6250,1.0,0.2317,0.586,0.2919
2026-05-26 17:09:23,9375,1.5,0.222,0.586,0.3482
2026-05-26 17:31:54,12500,2.0,0.1915,0.652,0.3878
2026-05-26 17:54:26,15625,2.5,0.1826,0.658,0.4343
2026-05-26 18:16:57,18750,3.0,0.1914,0.65,0.429
2026-05-26 18:39:28,21875,3.5,0.1862,0.662,0.4455
2026-05-26 19:01:59,25000,4.0,0.1822,0.672,0.4598
2026-05-26 19:24:31,28125,4.5,0.1852,0.654,0.4584
2026-05-26 19:47:03,31250,5.0,0.183,0.67,0.4782
2026-05-26 19:47:52,31250,5.0,0.1822,0.672,0.4598
