datetime,step,epoch,eval_loss,rouge1,rouge2,rougeL,bertscore_f1
2026-05-26 12:18:46,3125,0.5,1.878,0.4309,0.2317,0.3887,0.8445
2026-05-26 12:41:57,6250,1.0,1.8271,0.4315,0.2351,0.387,0.8468
2026-05-26 13:05:09,9375,1.5,1.7918,0.431,0.2292,0.3834,0.8461
2026-05-26 13:28:21,12500,2.0,1.7723,0.4415,0.2428,0.3976,0.8478
2026-05-26 13:51:32,15625,2.5,1.7739,0.4435,0.2498,0.4015,0.8482
2026-05-26 14:14:42,18750,3.0,1.7542,0.4457,0.2457,0.4025,0.8504
2026-05-26 14:37:53,21875,3.5,1.7553,0.4497,0.244,0.4035,0.8505
2026-05-26 15:01:05,25000,4.0,1.7495,0.4438,0.2397,0.3984,0.8493
2026-05-26 15:24:15,28125,4.5,1.7482,0.4426,0.2393,0.3965,0.8496
2026-05-26 15:47:27,31250,5.0,1.7493,0.4454,0.2415,0.4005,0.8501
2026-05-26 15:48:47,31250,5.0,1.7482,0.4426,0.2393,0.3965,0.8496
